상병코드,상병명,상병명(영문)
M6657     ,상세불명의 힘줄의 자연파열/ 발의 기타 관절,Spontaneous rupture of unspecified tendon/ other joints in foot
M6657     ,상세불명의 힘줄의 자연파열/ 족근골,Spontaneous rupture of unspecified tendon/ tarsus
M6657     ,상세불명의 힘줄의 자연파열/ 중족골,Spontaneous rupture of unspecified tendon/ metatarsus
M6658     ,비외상성 근육힘줄접합부에서의 파열/ 기타 부분,Rupture at musculotendinous junction/ nontraumatic/ other
M6658     ,비외상성 근육힘줄접합부에서의 파열/ 늑골,Rupture at musculotendinous junction/ nontraumatic/ ribs
M6658     ,비외상성 근육힘줄접합부에서의 파열/ 두개골,Rupture at musculotendinous junction/ nontraumatic/ skull
M6658     ,비외상성 근육힘줄접합부에서의 파열/ 머리,Rupture at musculotendinous junction/ nontraumatic/ head
M6658     ,비외상성 근육힘줄접합부에서의 파열/ 목,Rupture at musculotendinous junction/ nontraumatic/ neck
M6658     ,비외상성 근육힘줄접합부에서의 파열/ 몸통,Rupture at musculotendinous junction/ nontraumatic/ trunk
M6658     ,비외상성 근육힘줄접합부에서의 파열/ 척주,Rupture at musculotendinous junction/ nontraumatic/ vertebral column
M6658     ,상세불명의 힘줄의 자연파열/ 기타 부분,Spontaneous rupture of unspecified tendon/ other
M6658     ,상세불명의 힘줄의 자연파열/ 늑골,Spontaneous rupture of unspecified tendon/ ribs
M6658     ,상세불명의 힘줄의 자연파열/ 두개골,Spontaneous rupture of unspecified tendon/ skull
M6658     ,상세불명의 힘줄의 자연파열/ 머리,Spontaneous rupture of unspecified tendon/ head
M6658     ,상세불명의 힘줄의 자연파열/ 목,Spontaneous rupture of unspecified tendon/ neck
M6658     ,상세불명의 힘줄의 자연파열/ 몸통,Spontaneous rupture of unspecified tendon/ trunk
M6658     ,상세불명의 힘줄의 자연파열/ 척주,Spontaneous rupture of unspecified tendon/ vertebral column
M6659     ,비외상성 근육힘줄접합부에서의 파열/ 상세불명 부분,Rupture at musculotendinous junction/ nontraumatic/ site unspecified
M6659     ,상세불명의 힘줄의 자연파열/ 상세불명 부분,Spontaneous rupture of unspecified tendon/ site unspecified
M67       ,윤활막 및 힘줄의 기타 장애,Other disorders of synovium and tendon
M670      ,짧은 아킬레스힘줄(후천성),Short Achilles tendon (acquired)
M671      ,힘줄(집)의 기타 구축,Other contracture of tendon (sheath)
M6710     ,힘줄(집)의 기타 구축/ 여러 부위,Other contracture of tendon (sheath)/ multiple sites
M6711     ,힘줄(집)의 기타 구축/ 견갑골,Other contracture of tendon (sheath)/ scapula
M6711     ,힘줄(집)의 기타 구축/ 견쇄관절,Other contracture of tendon (sheath)/ acromioclavicular joints
M6711     ,힘줄(집)의 기타 구축/ 쇄골,Other contracture of tendon (sheath)/ clavicle
M6711     ,힘줄(집)의 기타 구축/ 어깨관절,Other contracture of tendon (sheath)/ glenohumeral joints
M6711     ,힘줄(집)의 기타 구축/ 어깨부분,Other contracture of tendon (sheath)/ shoulder region
M6711     ,힘줄(집)의 기타 구축/ 흉쇄관절,Other contracture of tendon (sheath)/ sternoclavicular joints
M6712     ,힘줄(집)의 기타 구축/ 상완골,Other contracture of tendon (sheath)/ humerus
M6712     ,힘줄(집)의 기타 구축/ 위팔,Other contracture of tendon (sheath)/ upper arm
M6712     ,힘줄(집)의 기타 구축/ 팔꿈치관절,Other contracture of tendon (sheath)/ elbow joints
M6713     ,힘줄(집)의 기타 구축/ 손목관절,Other contracture of tendon (sheath)/ wrist joints
M6713     ,힘줄(집)의 기타 구축/ 아래팔,Other contracture of tendon (sheath)/ forearm
M6713     ,힘줄(집)의 기타 구축/ 요골,Other contracture of tendon (sheath)/ radius
M6713     ,힘줄(집)의 기타 구축/ 척골,Other contracture of tendon (sheath)/ ulna
M6714     ,힘줄(집)의 기타 구축/ 손,Other contracture of tendon (sheath)/ hand
M6714     ,힘줄(집)의 기타 구축/ 손가락,Other contracture of tendon (sheath)/ fingers
M6714     ,힘줄(집)의 기타 구축/ 수근골,Other contracture of tendon (sheath)/ carpus
M6714     ,힘줄(집)의 기타 구축/ 이들 뼈간의 관절,Other contracture of tendon (sheath)/ joints between these bones
M6714     ,힘줄(집)의 기타 구축/ 중수골,Other contracture of tendon (sheath)/ metacarpus
M6715     ,힘줄(집)의 기타 구축/ 고관절,Other contracture of tendon (sheath)/ hip (joint)
M6715     ,힘줄(집)의 기타 구축/ 골반,Other contracture of tendon (sheath)/ pelvis
M6715     ,힘줄(집)의 기타 구축/ 골반 부분 및 대퇴,Other contracture of tendon (sheath)/ pelvic region and thigh
M6715     ,힘줄(집)의 기타 구축/ 대퇴골,Other contracture of tendon (sheath)/ femur
M6715     ,힘줄(집)의 기타 구축/ 엉덩이,Other contracture of tendon (sheath)/ buttock
M6715     ,힘줄(집)의 기타 구축/ 천장관절,Other contracture of tendon (sheath)/ sacroiliac joint
M6716     ,힘줄(집)의 기타 구축/ 경골,Other contracture of tendon (sheath)/ tibia
M6716     ,힘줄(집)의 기타 구축/ 무릎관절,Other contracture of tendon (sheath)/ knee joint
M6716     ,힘줄(집)의 기타 구축/ 비골,Other contracture of tendon (sheath)/ fibula
M6716     ,힘줄(집)의 기타 구축/ 아래다리,Other contracture of tendon (sheath)/ lower leg
M6717     ,힘줄(집)의 기타 구축/ 발가락,Other contracture of tendon (sheath)/ toes
M6717     ,힘줄(집)의 기타 구축/ 발목 및 발,Other contracture of tendon (sheath)/ ankle and foot
M6717     ,힘줄(집)의 기타 구축/ 발목관절,Other contracture of tendon (sheath)/ ankle joint
M6717     ,힘줄(집)의 기타 구축/ 발의 기타 관절,Other contracture of tendon (sheath)/ other joints in foot
M6717     ,힘줄(집)의 기타 구축/ 족근골,Other contracture of tendon (sheath)/ tarsus
M6717     ,힘줄(집)의 기타 구축/ 중족골,Other contracture of tendon (sheath)/ metatarsus
M6718     ,힘줄(집)의 기타 구축/ 기타 부분,Other contracture of tendon (sheath)/ other
M6718     ,힘줄(집)의 기타 구축/ 늑골,Other contracture of tendon (sheath)/ ribs
M6718     ,힘줄(집)의 기타 구축/ 두개골,Other contracture of tendon (sheath)/ skull
M6718     ,힘줄(집)의 기타 구축/ 머리,Other contracture of tendon (sheath)/ head
M6718     ,힘줄(집)의 기타 구축/ 목,Other contracture of tendon (sheath)/ neck
M6718     ,힘줄(집)의 기타 구축/ 몸통,Other contracture of tendon (sheath)/ trunk
M6718     ,힘줄(집)의 기타 구축/ 척주,Other contracture of tendon (sheath)/ vertebral column
M6719     ,힘줄(집)의 기타 구축/ 상세불명 부분,Other contracture of tendon (sheath)/ site unspecified
M672      ,달리 분류되지 않은 윤활막의 비대,Synovial hypertrophy/ NEC
M6720     ,달리 분류되지 않은 윤활막의 비대/ 여러 부위,Synovial hypertrophy/ NEC/ multiple sites
M6721     ,달리 분류되지 않은 윤활막의 비대/ 견갑골,Synovial hypertrophy/ NEC/ scapula
M6721     ,달리 분류되지 않은 윤활막의 비대/ 견쇄관절,Synovial hypertrophy/ NEC/ acromioclavicular joints
M6721     ,달리 분류되지 않은 윤활막의 비대/ 쇄골,Synovial hypertrophy/ NEC/ clavicle
M6721     ,달리 분류되지 않은 윤활막의 비대/ 어깨관절,Synovial hypertrophy/ NEC/ glenohumeral joints
M6721     ,달리 분류되지 않은 윤활막의 비대/ 어깨부분,Synovial hypertrophy/ NEC/ shoulder region
M6721     ,달리 분류되지 않은 윤활막의 비대/ 흉쇄관절,Synovial hypertrophy/ NEC/ sternoclavicular joints
M6722     ,달리 분류되지 않은 윤활막의 비대/ 상완골,Synovial hypertrophy/ NEC/ humerus
M6722     ,달리 분류되지 않은 윤활막의 비대/ 위팔,Synovial hypertrophy/ NEC/ upper arm
M6722     ,달리 분류되지 않은 윤활막의 비대/ 팔꿈치관절,Synovial hypertrophy/ NEC/ elbow joints
M6723     ,달리 분류되지 않은 윤활막의 비대/ 손목관절,Synovial hypertrophy/ NEC/ wrist joints
M6723     ,달리 분류되지 않은 윤활막의 비대/ 아래팔,Synovial hypertrophy/ NEC/ forearm
M6723     ,달리 분류되지 않은 윤활막의 비대/ 요골,Synovial hypertrophy/ NEC/ radius
M6723     ,달리 분류되지 않은 윤활막의 비대/ 척골,Synovial hypertrophy/ NEC/ ulna
M6724     ,달리 분류되지 않은 윤활막의 비대/ 손,Synovial hypertrophy/ NEC/ hand
M6724     ,달리 분류되지 않은 윤활막의 비대/ 손가락,Synovial hypertrophy/ NEC/ fingers
M6724     ,달리 분류되지 않은 윤활막의 비대/ 수근골,Synovial hypertrophy/ NEC/ carpus
M6724     ,달리 분류되지 않은 윤활막의 비대/ 이들 뼈간의 관절,Synovial hypertrophy/ NEC/ joints between these bones
M6724     ,달리 분류되지 않은 윤활막의 비대/ 중수골,Synovial hypertrophy/ NEC/ metacarpus
M6725     ,달리 분류되지 않은 윤활막의 비대/ 고관절,Synovial hypertrophy/ NEC/ hip (joint)
M6725     ,달리 분류되지 않은 윤활막의 비대/ 골반,Synovial hypertrophy/ NEC/ pelvis
M6725     ,달리 분류되지 않은 윤활막의 비대/ 골반 부분 및 대퇴,Synovial hypertrophy/ NEC/ pelvic region and thigh
M6725     ,달리 분류되지 않은 윤활막의 비대/ 대퇴골,Synovial hypertrophy/ NEC/ femur
M6725     ,달리 분류되지 않은 윤활막의 비대/ 엉덩이,Synovial hypertrophy/ NEC/ buttock
M6725     ,달리 분류되지 않은 윤활막의 비대/ 천장관절,Synovial hypertrophy/ NEC/ sacroiliac joint
M6726     ,달리 분류되지 않은 윤활막의 비대/ 경골,Synovial hypertrophy/ NEC/ tibia
M6726     ,달리 분류되지 않은 윤활막의 비대/ 무릎관절,Synovial hypertrophy/ NEC/ knee joint
M6726     ,달리 분류되지 않은 윤활막의 비대/ 비골,Synovial hypertrophy/ NEC/ fibula
M6726     ,달리 분류되지 않은 윤활막의 비대/ 아래다리,Synovial hypertrophy/ NEC/ lower leg
M6727     ,달리 분류되지 않은 윤활막의 비대/ 발가락,Synovial hypertrophy/ NEC/ toes
M6727     ,달리 분류되지 않은 윤활막의 비대/ 발목 및 발,Synovial hypertrophy/ NEC/ ankle and foot
M6727     ,달리 분류되지 않은 윤활막의 비대/ 발목관절,Synovial hypertrophy/ NEC/ ankle joint
M6727     ,달리 분류되지 않은 윤활막의 비대/ 발의 기타 관절,Synovial hypertrophy/ NEC/ other joints in foot
M6727     ,달리 분류되지 않은 윤활막의 비대/ 족근골,Synovial hypertrophy/ NEC/ tarsus
M6727     ,달리 분류되지 않은 윤활막의 비대/ 중족골,Synovial hypertrophy/ NEC/ metatarsus
M6728     ,달리 분류되지 않은 윤활막의 비대/ 기타 부분,Synovial hypertrophy/ NEC/ other
M6728     ,달리 분류되지 않은 윤활막의 비대/ 늑골,Synovial hypertrophy/ NEC/ ribs
M6728     ,달리 분류되지 않은 윤활막의 비대/ 두개골,Synovial hypertrophy/ NEC/ skull
M6728     ,달리 분류되지 않은 윤활막의 비대/ 머리,Synovial hypertrophy/ NEC/ head
M6728     ,달리 분류되지 않은 윤활막의 비대/ 목,Synovial hypertrophy/ NEC/ neck
M6728     ,달리 분류되지 않은 윤활막의 비대/ 몸통,Synovial hypertrophy/ NEC/ trunk
M6728     ,달리 분류되지 않은 윤활막의 비대/ 척주,Synovial hypertrophy/ NEC/ vertebral column
M6729     ,달리 분류되지 않은 윤활막의 비대/ 상세불명 부분,Synovial hypertrophy/ NEC/ site unspecified
M673      ,독성 윤활막염,Toxic synovitis
M673      ,일과성 윤활막염,Transient synovitis
M6730     ,독성 윤활막염/ 여러 부위,Toxic synovitis/ multiple sites
M6730     ,일과성 윤활막염/ 여러 부위,Transient synovitis/ multiple sites
M6731     ,독성 윤활막염/ 견갑골,Toxic synovitis/ scapula
M6731     ,독성 윤활막염/ 견쇄관절,Toxic synovitis/ acromioclavicular joints
M6731     ,독성 윤활막염/ 쇄골,Toxic synovitis/ clavicle
M6731     ,독성 윤활막염/ 어깨관절,Toxic synovitis/ glenohumeral joints
M6731     ,독성 윤활막염/ 어깨부분,Toxic synovitis/ shoulder region
M6731     ,독성 윤활막염/ 흉쇄관절,Toxic synovitis/ sternoclavicular joints
M6731     ,일과성 윤활막염/ 견갑골,Transient synovitis/ scapula
M6731     ,일과성 윤활막염/ 견쇄관절,Transient synovitis/ acromioclavicular joints
M6731     ,일과성 윤활막염/ 쇄골,Transient synovitis/ clavicle
M6731     ,일과성 윤활막염/ 어깨관절,Transient synovitis/ glenohumeral joints
M6731     ,일과성 윤활막염/ 어깨부분,Transient synovitis/ shoulder region
M6731     ,일과성 윤활막염/ 흉쇄관절,Transient synovitis/ sternoclavicular joints
M6732     ,독성 윤활막염/ 상완골,Toxic synovitis/ humerus
M6732     ,독성 윤활막염/ 위팔,Toxic synovitis/ upper arm
M6732     ,독성 윤활막염/ 팔꿈치관절,Toxic synovitis/ elbow joints
M6732     ,일과성 윤활막염/ 상완골,Transient synovitis/ humerus
M6732     ,일과성 윤활막염/ 위팔,Transient synovitis/ upper arm
M6732     ,일과성 윤활막염/ 팔꿈치관절,Transient synovitis/ elbow joints
M6733     ,독성 윤활막염/ 손목관절,Toxic synovitis/ wrist joints
M6733     ,독성 윤활막염/ 아래팔,Toxic synovitis/ forearm
M6733     ,독성 윤활막염/ 요골,Toxic synovitis/ radius
M6733     ,독성 윤활막염/ 척골,Toxic synovitis/ ulna
M6733     ,일과성 윤활막염/ 손목관절,Transient synovitis/ wrist joints
M6733     ,일과성 윤활막염/ 아래팔,Transient synovitis/ forearm
M6733     ,일과성 윤활막염/ 요골,Transient synovitis/ radius
M6733     ,일과성 윤활막염/ 척골,Transient synovitis/ ulna
M6734     ,독성 윤활막염/ 손,Toxic synovitis/ hand
M6734     ,독성 윤활막염/ 손가락,Toxic synovitis/ fingers
M6734     ,독성 윤활막염/ 수근골,Toxic synovitis/ carpus
M6734     ,독성 윤활막염/ 이들 뼈간의 관절,Toxic synovitis/ joints between these bones
M6734     ,독성 윤활막염/ 중수골,Toxic synovitis/ metacarpus
M6734     ,일과성 윤활막염/ 손,Transient synovitis/ hand
M6734     ,일과성 윤활막염/ 손가락,Transient synovitis/ fingers
M6734     ,일과성 윤활막염/ 수근골,Transient synovitis/ carpus
M6734     ,일과성 윤활막염/ 이들 뼈간의 관절,Transient synovitis/ joints between these bones
M6734     ,일과성 윤활막염/ 중수골,Transient synovitis/ metacarpus
M6735     ,독성 윤활막염/ 고관절,Toxic synovitis/ hip (joint)
M6735     ,독성 윤활막염/ 골반,Toxic synovitis/ pelvis
M6735     ,독성 윤활막염/ 골반 부분 및 대퇴,Toxic synovitis/ pelvic region and thigh
M6735     ,독성 윤활막염/ 대퇴골,Toxic synovitis/ femur
M6735     ,독성 윤활막염/ 엉덩이,Toxic synovitis/ buttock
M6735     ,독성 윤활막염/ 천장관절,Toxic synovitis/ sacroiliac joint
M6735     ,일과성 윤활막염/ 고관절,Transient synovitis/ hip (joint)
M6735     ,일과성 윤활막염/ 골반,Transient synovitis/ pelvis
M6735     ,일과성 윤활막염/ 골반 부분 및 대퇴,Transient synovitis/ pelvic region and thigh
M6735     ,일과성 윤활막염/ 대퇴골,Transient synovitis/ femur
M6735     ,일과성 윤활막염/ 엉덩이,Transient synovitis/ buttock
M6735     ,일과성 윤활막염/ 천장관절,Transient synovitis/ sacroiliac joint
M6736     ,독성 윤활막염/ 경골,Toxic synovitis/ tibia
M6736     ,독성 윤활막염/ 무릎관절,Toxic synovitis/ knee joint
M6736     ,독성 윤활막염/ 비골,Toxic synovitis/ fibula
M6736     ,독성 윤활막염/ 아래다리,Toxic synovitis/ lower leg
M6736     ,일과성 윤활막염/ 경골,Transient synovitis/ tibia
M6736     ,일과성 윤활막염/ 무릎관절,Transient synovitis/ knee joint
M6736     ,일과성 윤활막염/ 비골,Transient synovitis/ fibula
M6736     ,일과성 윤활막염/ 아래다리,Transient synovitis/ lower leg
M6737     ,독성 윤활막염/ 발가락,Toxic synovitis/ toes
M6737     ,독성 윤활막염/ 발목 및 발,Toxic synovitis/ ankle and foot
M6737     ,독성 윤활막염/ 발목관절,Toxic synovitis/ ankle joint
M6737     ,독성 윤활막염/ 발의 기타 관절,Toxic synovitis/ other joints in foot
M6737     ,독성 윤활막염/ 족근골,Toxic synovitis/ tarsus
M6737     ,독성 윤활막염/ 중족골,Toxic synovitis/ metatarsus
M6737     ,일과성 윤활막염/ 발가락,Transient synovitis/ toes
M6737     ,일과성 윤활막염/ 발목 및 발,Transient synovitis/ ankle and foot
M6737     ,일과성 윤활막염/ 발목관절,Transient synovitis/ ankle joint
M6737     ,일과성 윤활막염/ 발의 기타 관절,Transient synovitis/ other joints in foot
M6737     ,일과성 윤활막염/ 족근골,Transient synovitis/ tarsus
M6737     ,일과성 윤활막염/ 중족골,Transient synovitis/ metatarsus
M6738     ,독성 윤활막염/ 기타 부분,Toxic synovitis/ other
M6738     ,독성 윤활막염/ 늑골,Toxic synovitis/ ribs
M6738     ,독성 윤활막염/ 두개골,Toxic synovitis/ skull
M6738     ,독성 윤활막염/ 머리,Toxic synovitis/ head
M6738     ,독성 윤활막염/ 목,Toxic synovitis/ neck
M6738     ,독성 윤활막염/ 몸통,Toxic synovitis/ trunk
M6738     ,독성 윤활막염/ 척주,Toxic synovitis/ vertebral column
M6738     ,일과성 윤활막염/ 기타 부분,Transient synovitis/ other
M6738     ,일과성 윤활막염/ 늑골,Transient synovitis/ ribs
M6738     ,일과성 윤활막염/ 두개골,Transient synovitis/ skull
M6738     ,일과성 윤활막염/ 머리,Transient synovitis/ head
M6738     ,일과성 윤활막염/ 목,Transient synovitis/ neck
M6738     ,일과성 윤활막염/ 몸통,Transient synovitis/ trunk
M6738     ,일과성 윤활막염/ 척주,Transient synovitis/ vertebral column
M6739     ,독성 윤활막염/ 상세불명 부분,Toxic synovitis/ site unspecified
M6739     ,일과성 윤활막염/ 상세불명 부분,Transient synovitis/ site unspecified
M674      ,결절종,Ganglion
M674      ,관절 또는 힘줄(집)의 결절종,Ganglion of joint or tendon (sheath)
M6740     ,결절종/ 여러 부위,Ganglion/ multiple sites
M6740     ,관절 또는 힘줄(집)의 결절종/ 여러 부위,Ganglion of joint or tendon (sheath)/ multiple sites
M6741     ,결절종/ 견갑골,Ganglion/ scapula
M6741     ,결절종/ 견쇄관절,Ganglion/ acromioclavicular joints
M6741     ,결절종/ 쇄골,Ganglion/ clavicle
M6741     ,결절종/ 어깨관절,Ganglion/ glenohumeral joints
M6741     ,결절종/ 어깨부분,Ganglion/ shoulder region
M6741     ,결절종/ 흉쇄관절,Ganglion/ sternoclavicular joints
M6741     ,관절 또는 힘줄(집)의 결절종/ 견갑골,Ganglion of joint or tendon (sheath)/ scapula
M6741     ,관절 또는 힘줄(집)의 결절종/ 견쇄관절,Ganglion of joint or tendon (sheath)/ acromioclavicular joints
M6741     ,관절 또는 힘줄(집)의 결절종/ 쇄골,Ganglion of joint or tendon (sheath)/ clavicle
M6741     ,관절 또는 힘줄(집)의 결절종/ 어깨관절,Ganglion of joint or tendon (sheath)/ glenohumeral joints
M6741     ,관절 또는 힘줄(집)의 결절종/ 어깨부분,Ganglion of joint or tendon (sheath)/ shoulder region
M6741     ,관절 또는 힘줄(집)의 결절종/ 흉쇄관절,Ganglion of joint or tendon (sheath)/ sternoclavicular joints
M6742     ,결절종/ 상완골,Ganglion/ humerus
M6742     ,결절종/ 위팔,Ganglion/ upper arm
M6742     ,결절종/ 팔꿈치관절,Ganglion/ elbow joints
M6742     ,관절 또는 힘줄(집)의 결절종/ 상완골,Ganglion of joint or tendon (sheath)/ humerus
M6742     ,관절 또는 힘줄(집)의 결절종/ 위팔,Ganglion of joint or tendon (sheath)/ upper arm
M6742     ,관절 또는 힘줄(집)의 결절종/ 팔꿈치관절,Ganglion of joint or tendon (sheath)/ elbow joints
M6743     ,결절종/ 손목관절,Ganglion/ wrist joints
M6743     ,결절종/ 아래팔,Ganglion/ forearm
M6743     ,결절종/ 요골,Ganglion/ radius
M6743     ,결절종/ 척골,Ganglion/ ulna
M6743     ,관절 또는 힘줄(집)의 결절종/ 손목관절,Ganglion of joint or tendon (sheath)/ wrist joints
M6743     ,관절 또는 힘줄(집)의 결절종/ 아래팔,Ganglion of joint or tendon (sheath)/ forearm
M6743     ,관절 또는 힘줄(집)의 결절종/ 요골,Ganglion of joint or tendon (sheath)/ radius
M6743     ,관절 또는 힘줄(집)의 결절종/ 척골,Ganglion of joint or tendon (sheath)/ ulna
M6744     ,결절종/ 손,Ganglion/ hand
M6744     ,결절종/ 손가락,Ganglion/ fingers
M6744     ,결절종/ 수근골,Ganglion/ carpus
M6744     ,결절종/ 이들 뼈간의 관절,Ganglion/ joints between these bones
M6744     ,결절종/ 중수골,Ganglion/ metacarpus
M6744     ,관절 또는 힘줄(집)의 결절종/ 손,Ganglion of joint or tendon (sheath)/ hand
M6744     ,관절 또는 힘줄(집)의 결절종/ 손가락,Ganglion of joint or tendon (sheath)/ fingers
M6744     ,관절 또는 힘줄(집)의 결절종/ 수근골,Ganglion of joint or tendon (sheath)/ carpus
M6744     ,관절 또는 힘줄(집)의 결절종/ 이들 뼈간의 관절,Ganglion of joint or tendon (sheath)/ joints between these bones
M6744     ,관절 또는 힘줄(집)의 결절종/ 중수골,Ganglion of joint or tendon (sheath)/ metacarpus
M6745     ,결절종/ 고관절,Ganglion/ hip (joint)
M6745     ,결절종/ 골반,Ganglion/ pelvis
M6745     ,결절종/ 골반 부분 및 대퇴,Ganglion/ pelvic region and thigh
M6745     ,결절종/ 대퇴골,Ganglion/ femur
M6745     ,결절종/ 엉덩이,Ganglion/ buttock
M6745     ,결절종/ 천장관절,Ganglion/ sacroiliac joint
M6745     ,관절 또는 힘줄(집)의 결절종/ 고관절,Ganglion of joint or tendon (sheath)/ hip (joint)
M6745     ,관절 또는 힘줄(집)의 결절종/ 골반,Ganglion of joint or tendon (sheath)/ pelvis
M6745     ,관절 또는 힘줄(집)의 결절종/ 골반 부분 및 대퇴,Ganglion of joint or tendon (sheath)/ pelvic region and thigh
M6745     ,관절 또는 힘줄(집)의 결절종/ 대퇴골,Ganglion of joint or tendon (sheath)/ femur
M6745     ,관절 또는 힘줄(집)의 결절종/ 엉덩이,Ganglion of joint or tendon (sheath)/ buttock
M6745     ,관절 또는 힘줄(집)의 결절종/ 천장관절,Ganglion of joint or tendon (sheath)/ sacroiliac joint
M6746     ,결절종/ 경골,Ganglion/ tibia
M6746     ,결절종/ 무릎관절,Ganglion/ knee joint
M6746     ,결절종/ 비골,Ganglion/ fibula
M6746     ,결절종/ 아래다리,Ganglion/ lower leg
M6746     ,관절 또는 힘줄(집)의 결절종/ 경골,Ganglion of joint or tendon (sheath)/ tibia
M6746     ,관절 또는 힘줄(집)의 결절종/ 무릎관절,Ganglion of joint or tendon (sheath)/ knee joint
M6746     ,관절 또는 힘줄(집)의 결절종/ 비골,Ganglion of joint or tendon (sheath)/ fibula
M6746     ,관절 또는 힘줄(집)의 결절종/ 아래다리,Ganglion of joint or tendon (sheath)/ lower leg
M6747     ,결절종/ 발가락,Ganglion/ toes
M6747     ,결절종/ 발목 및 발,Ganglion/ ankle and foot
M6747     ,결절종/ 발목관절,Ganglion/ ankle joint
M6747     ,결절종/ 발의 기타 관절,Ganglion/ other joints in foot
M6747     ,결절종/ 족근골,Ganglion/ tarsus
M6747     ,결절종/ 중족골,Ganglion/ metatarsus
M6747     ,관절 또는 힘줄(집)의 결절종/ 발가락,Ganglion of joint or tendon (sheath)/ toes
M6747     ,관절 또는 힘줄(집)의 결절종/ 발목 및 발,Ganglion of joint or tendon (sheath)/ ankle and foot
M6747     ,관절 또는 힘줄(집)의 결절종/ 발목관절,Ganglion of joint or tendon (sheath)/ ankle joint
M6747     ,관절 또는 힘줄(집)의 결절종/ 발의 기타 관절,Ganglion of joint or tendon (sheath)/ other joints in foot
M6747     ,관절 또는 힘줄(집)의 결절종/ 족근골,Ganglion of joint or tendon (sheath)/ tarsus
M6747     ,관절 또는 힘줄(집)의 결절종/ 중족골,Ganglion of joint or tendon (sheath)/ metatarsus
M6748     ,결절종/ 기타 부분,Ganglion/ other
M6748     ,결절종/ 늑골,Ganglion/ ribs
M6748     ,결절종/ 두개골,Ganglion/ skull
M6748     ,결절종/ 머리,Ganglion/ head
M6748     ,결절종/ 목,Ganglion/ neck
M6748     ,결절종/ 몸통,Ganglion/ trunk
M6748     ,결절종/ 척주,Ganglion/ vertebral column
M6748     ,관절 또는 힘줄(집)의 결절종/ 기타 부분,Ganglion of joint or tendon (sheath)/ other
M6748     ,관절 또는 힘줄(집)의 결절종/ 늑골,Ganglion of joint or tendon (sheath)/ ribs
M6748     ,관절 또는 힘줄(집)의 결절종/ 두개골,Ganglion of joint or tendon (sheath)/ skull
M6748     ,관절 또는 힘줄(집)의 결절종/ 머리,Ganglion of joint or tendon (sheath)/ head
M6748     ,관절 또는 힘줄(집)의 결절종/ 목,Ganglion of joint or tendon (sheath)/ neck
M6748     ,관절 또는 힘줄(집)의 결절종/ 몸통,Ganglion of joint or tendon (sheath)/ trunk
M6748     ,관절 또는 힘줄(집)의 결절종/ 척주,Ganglion of joint or tendon (sheath)/ vertebral column
M6749     ,결절종/ 상세불명 부분,Ganglion/ site unspecified
M6749     ,관절 또는 힘줄(집)의 결절종/ 상세불명 부분,Ganglion of joint or tendon (sheath)/ site unspecified
M678      ,윤활막 및 힘줄의 기타 명시된 장애,Other specified disorders of synovium and tendon
M6780     ,윤활막 및 힘줄의 기타 명시된 장애/ 여러 부위,Other specified disorders of synovium and tendon/ multiple sites
M6781     ,윤활막 및 힘줄의 기타 명시된 장애/ 견갑골,Other specified disorders of synovium and tendon/ scapula
M6781     ,윤활막 및 힘줄의 기타 명시된 장애/ 견쇄관절,Other specified disorders of synovium and tendon/ acromioclavicular joints
M6781     ,윤활막 및 힘줄의 기타 명시된 장애/ 쇄골,Other specified disorders of synovium and tendon/ clavicle
M6781     ,윤활막 및 힘줄의 기타 명시된 장애/ 어깨관절,Other specified disorders of synovium and tendon/ glenohumeral joints
M6781     ,윤활막 및 힘줄의 기타 명시된 장애/ 어깨부분,Other specified disorders of synovium and tendon/ shoulder region
M6781     ,윤활막 및 힘줄의 기타 명시된 장애/ 흉쇄관절,Other specified disorders of synovium and tendon/ sternoclavicular joints
M6782     ,윤활막 및 힘줄의 기타 명시된 장애/ 상완골,Other specified disorders of synovium and tendon/ humerus
M6782     ,윤활막 및 힘줄의 기타 명시된 장애/ 위팔,Other specified disorders of synovium and tendon/ upper arm
M6782     ,윤활막 및 힘줄의 기타 명시된 장애/ 팔꿈치관절,Other specified disorders of synovium and tendon/ elbow joints
M6783     ,윤활막 및 힘줄의 기타 명시된 장애/ 손목관절,Other specified disorders of synovium and tendon/ wrist joints
M6783     ,윤활막 및 힘줄의 기타 명시된 장애/ 아래팔,Other specified disorders of synovium and tendon/ forearm
M6783     ,윤활막 및 힘줄의 기타 명시된 장애/ 요골,Other specified disorders of synovium and tendon/ radius
M6783     ,윤활막 및 힘줄의 기타 명시된 장애/ 척골,Other specified disorders of synovium and tendon/ ulna
M6784     ,윤활막 및 힘줄의 기타 명시된 장애/ 손,Other specified disorders of synovium and tendon/ hand
M6784     ,윤활막 및 힘줄의 기타 명시된 장애/ 손가락,Other specified disorders of synovium and tendon/ fingers
M6784     ,윤활막 및 힘줄의 기타 명시된 장애/ 수근골,Other specified disorders of synovium and tendon/ carpus
M6784     ,윤활막 및 힘줄의 기타 명시된 장애/ 이들 뼈간의 관절,Other specified disorders of synovium and tendon/ joints between these bones
M6784     ,윤활막 및 힘줄의 기타 명시된 장애/ 중수골,Other specified disorders of synovium and tendon/ metacarpus
M6785     ,윤활막 및 힘줄의 기타 명시된 장애/ 고관절,Other specified disorders of synovium and tendon/ hip (joint)
