상병코드,상병명,상병명(영문)
A1521     ,조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 기관지 확장증,Tuberculous bronchiectasis without cavitation or unspecified/ confirmed histologically
A1521     ,조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 기흉,Tuberculous pneumothorax without cavitation or unspecified/ confirmed histologically
A1521     ,조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 폐렴,Tuberculous pneumonia without cavitation or unspecified/ confirmed histologically
A1521     ,조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 폐섬유증,Tuberculous fibrosis of lung without cavitation or unspecified/ confirmed histologically
A1521     ,조직학적으로 확인된 공동이 없거나 상세불명의 폐결핵,Tuberculosis of lung without cavitation or unspecified/ confirmed histologically
A1521     ,A15.0에 열거된 공동이 없거나 상세불명의 병태/ 조직학적으로 확인된 것,Conditions without cavitation or unspecified listed in A15.0/ confirmed histologically
A153      ,상세불명의 수단으로 확인된 결핵성 기관지 확장증,Tuberculous bronchiectasis/ confirmed by unspecified means
A153      ,상세불명의 수단으로 확인된 결핵성 기흉,Tuberculous pneumothorax/ confirmed by unspecified means
A153      ,상세불명의 수단으로 확인된 결핵성 폐렴,Tuberculous pneumonia/ confirmed by unspecified means
A153      ,상세불명의 수단으로 확인된 결핵성 폐섬유증,Tuberculous fibrosis of lung/ confirmed by unspecified means
A153      ,상세불명의 수단으로 확인된 폐결핵,Tuberculosis of lung/ confirmed by unspecified means
A153      ,A15.0에 열거된 병태/ 확인은 되었지만 세균학적인지 조직학적인지는 명시되지 않은 것,Conditions listed A15.0/ confirmed but unspecified whether bacteriologically or histologically
A1530     ,상세불명의 수단으로 확인된 공동이 있는 결핵성 기관지 확장증,Tuberculous bronchiectasis with cavitation/ confirmed by unspecified means
A1530     ,상세불명의 수단으로 확인된 공동이 있는 결핵성 기흉,Tuberculous pneumothorax with cavitation/ confirmed by unspecified means
A1530     ,상세불명의 수단으로 확인된 공동이 있는 결핵성 폐렴,Tuberculous pneumonia with cavitation/ confirmed by unspecified means
